HOOD_158,NEIGHBOURHOOD_158.x,Income,Total_Tickets,Aggressive_Driving,All_CAIA,Distracted_Driving,Other_HTA,Speeding
10,Princess-Rosethorn,538736,6044,1314,589,102,1450,2589
100,Yonge-Eglinton,222648,9915,4995,1030,288,2296,1306
102,Forest Hill North,258469,5026,2448,558,171,1235,614
105,Lawrence Park North,470908,1939,948,237,98,555,101
106,Humewood-Cedarvale,289910,10665,5200,1309,354,2662,1140
107,Oakwood Village,267062,13497,5222,1973,395,5174,733
108,Briar Hill-Belgravia,190243,3788,833,588,222,2094,51
109,Caledonia-Fairbank,132879,2676,425,380,104,1274,493
11,Eringate-Centennial-West Deane,352269,7735,1303,749,57,1281,4345
110,Keelesdale-Eglinton West,184802,5632,2428,771,219,2122,92
111,Rockcliffe-Smythe,295358,9840,2255,1289,397,2990,2909
112,Beechborough-Greenbrook,109880,11156,4510,1337,121,2769,2419
113,Weston,171044,7812,2747,1210,253,3324,278
114,Lambton Baby Point,214945,1112,181,131,15,279,506
115,Mount Dennis,164344,6695,628,881,169,2509,2508
116,Steeles,363045,9809,3264,1187,332,2922,2104
118,Tam O'Shanter-Sullivan,475647,8386,2372,1120,416,3202,1276
12,Markland Wood,195412,2760,364,239,52,525,1580
121,Oakridge,134303,6511,1769,766,140,2312,1524
122,Birchcliffe-Cliffside,369161,17077,3547,1660,165,3531,8174
123,Cliffcrest,248846,6774,1884,708,160,2218,1804
124,Kennedy Park,229390,6732,1139,818,256,2617,1902
125,Ionview,169046,5062,1508,633,248,2358,315
129,Agincourt North,427037,11036,3105,1285,295,3492,2859
13,Etobicoke West Mall,132460,2636,245,338,94,850,1109
133,Centennial Scarborough,215135,5323,674,452,45,993,3159
134,Highland Creek,196620,5461,1550,575,136,1490,1710
135,Morningside,272837,7193,854,682,85,1853,3719
138,Eglinton East,343031,5976,998,737,212,2513,1516
139,Scarborough Village,185967,5001,1039,697,205,2457,603
140,Guildwood,177062,2993,890,362,69,913,759
18,New Toronto,188819,2614,326,402,76,1414,396
19,Long Branch,137480,2140,578,267,38,798,459
2,Mount Olive-Silverstone-Jamestown,360648,8359,1956,1035,277,3451,1640
20,Alderwood,168602,8349,474,676,120,1388,5691
22,Humbermede,184459,8838,1092,1058,196,3090,3402
23,Pelmo Park-Humberlea,154568,12618,2605,1675,150,3423,4765
24,Black Creek,261560,5333,1477,731,164,2314,647
27,York University Heights,302358,18287,4063,2122,516,6143,5443
28,Rustic,113995,4563,1131,666,154,1815,797
29,Maple Leaf,144062,7485,3688,924,102,1713,1058
3,Thistletown-Beaumond Heights,140050,6780,1089,759,336,2190,2406
30,Brookhaven-Amesbury,176688,12006,2447,1585,572,4763,2639
31,Yorkdale-Glen Park,213860,17049,4046,1920,631,5177,5275
32,Englemount-Lawrence,293189,6722,2678,695,207,1518,1624
33,Clanton Park,168893,7072,1110,677,134,1752,3399
34,Bathurst Manor,251583,4678,1283,589,214,1400,1192
35,Westminster-Branson,332776,4402,997,399,56,960,1990
36,Newtonbrook West,260415,6803,3401,890,173,1904,435
37,Willowdale West,272986,4655,1353,613,211,1695,783
38,Lansing-Westgate,356122,5113,1488,651,280,1916,778
4,Rexdale-Kipling,134305,3744,1075,416,130,1170,953
43,Victoria Village,171271,13098,2606,1423,428,3439,5202
46,Pleasant View,219209,3071,989,300,106,869,807
47,Don Valley Village,414411,6209,2092,787,365,2094,871
48,Hillcrest Village,298716,7854,1773,880,239,2406,2556
49,Bayview Woods-Steeles,253036,12705,1358,990,126,1736,8495
5,Elms-Old Rexdale,123119,5194,989,509,142,1323,2231
50,Newtonbrook East,335768,9904,2440,1170,340,2801,3153
52,Bayview Village,354894,7315,1213,813,484,1920,2885
53,Henry Farm,202357,6464,1241,1059,545,2850,769
54,O'Connor-Parkview,354525,12973,2749,1498,400,3965,4361
55,Thorncliffe Park,195114,4433,1052,572,162,1942,705
57,Broadview North,126349,2096,280,248,178,683,707
59,Danforth East York,334260,4224,1129,478,128,1527,962
6,Kingsview Village-The Westway,272950,3804,818,494,323,1615,554
60,Woodbine-Lumsden,147462,2668,623,333,350,1217,145
61,Taylor-Massey,102259,2566,858,373,85,1101,149
62,East End-Danforth,304010,8720,2968,1206,385,3625,536
64,Woodbine Corridor,240272,6027,2254,780,234,2561,198
65,Greenwood-Coxwell,216423,10180,4270,1339,268,4044,259
66,Danforth,260052,1903,375,245,68,1048,167
67,Playter Estates-Danforth,194189,3220,1613,360,72,845,330
68,North Riverdale,318764,17318,4625,1925,616,4504,5648
69,Blake-Jones,154132,4227,1112,522,210,1984,399
7,Willowridge-Martingrove-Richview,412302,6592,2703,673,147,1257,1812
72,Regent Park,103250,4792,1089,487,238,2584,394
74,North St. James Town,144164,5109,1827,484,189,1725,884
79,University,197072,4844,1858,494,328,1907,257
8,Humber Heights-Westmount,238655,4802,990,520,94,1048,2150
80,Palmerston-Little Italy,347339,3265,926,399,180,1330,430
81,Trinity-Bellwoods,333954,8296,2980,872,476,3344,624
83,Dufferin Grove,128586,4006,1266,556,201,1810,173
84,Little Portugal,202912,5457,1870,658,308,2122,499
86,Roncesvalles,377518,6757,2369,907,400,2235,846
87,High Park-Swansea,483620,20592,4983,2045,648,4980,7936
88,High Park North,496958,6028,1830,714,112,1888,1484
89,Runnymede-Bloor West Village,223885,2585,457,332,145,1025,626
9,Edenbridge-Humber Valley,441052,7598,508,593,84,1048,5365
91,Weston-Pelham Park,127491,5363,2018,684,324,1891,446
92,Corso Italia-Davenport,304000,4215,659,584,277,2054,641
94,Wychwood,239484,4858,1925,618,195,1805,315
96,Casa Loma,545338,3438,801,387,251,1398,601
97,Yonge-St.Clair,541217,5526,1288,468,334,1390,2046
99,Mount Pleasant East,348357,3787,1647,401,226,1307,206
